Estado,Casos,Fecha_reporte,Tasa de incidencia,Ambulatorios,Hospitalizados,Altas
Ciudad de México,141,2022-08-15,,,,
Jalisco,46,2022-08-15,,,,
Yucatán,15,2022-08-15,,,,
Quintana Roo,9,2022-08-15,,,,
México,9,2022-08-15,,,,
Nuevo León,4,2022-08-15,,,,
Baja California,4,2022-08-15,,,,
Chiapas,4,2022-08-15,,,,
Veracruz,4,2022-08-15,,,,
Tabasco,3,2022-08-15,,,,
Oaxaca,2,2022-08-15,,,,
Puebla,2,2022-08-15,,,,
Colima,2,2022-08-15,,,,
Baja California Sur,1,2022-08-15,,,,
Chihuahua,1,2022-08-15,,,,
Morelos,1,2022-08-15,,,,
Michoacán,1,2022-08-15,,,,
Querétaro,1,2022-08-15,,,,
San Luis Potosí,1,2022-08-15,,,,
Sinaloa,1,2022-08-15,,,,
Ciudad de México,"1,491",2022-10-17,16.59,1303,36,152
Yucatán,86,2022-10-17,3.73,85,-,1
Jalisco,279,2022-10-17,3.26,274,5,-
Quintana Roo,58,2022-10-17,3.22,30,-,28
Tabasco,37,2022-10-17,1.41,37,-,-
Morelos,16,2022-10-17,0.77,16,-,-
Nayarit,9,2022-10-17,0.68,8,-,1
Campeche,7,2022-10-17,0.68,7,-,-
Querétaro,13,2022-10-17,0.55,8,-,5
Colima,4,2022-10-17,0.49,4,-,-
Aguascalientes,7,2022-10-17,0.48,7,-,-
Chiapas,27,2022-10-17,0.46,23,2,2
Nuevo León,26,2022-10-17,0.45,20,-,6
Sinaloa,13,2022-10-17,0.41,10,2,1
Baja California,14,2022-10-17,0.37,14,-,-
Puebla,24,2022-10-17,0.36,22,1,1
Tlaxcala,5,2022-10-17,0.35,5,-,-
Hidalgo,11,2022-10-17,0.35,11,-,-
Coahuila,11,2022-10-17,0.33,8,1,2
Chihuahua,11,2022-10-17,0.28,10,-,1
Veracruz,18,2022-10-17,0.21,17,1,-
Guanajuato,13,2022-10-17,0.21,13,-,-
Oaxaca,8,2022-10-17,0.19,6,-,2
Tamaulipas,7,2022-10-17,0.19,6,1,-
Zacatecas,3,2022-10-17,0.18,2,-,1
Sonora,4,2022-10-17,0.13,3,1,-
Michoacán,6,2022-10-17,0.12,5,1,-
Baja California Sur,1,2022-10-17,0.12,1,-,-
Guerrero,4,2022-10-17,0.11,3,1,-
San Luis Potosí,2,2022-10-17,0.07,2,-,-
Durango,1,2022-10-17,0.05,-,1,-
Ciudad de México,209.0,2022-08-22,,,,
Jalisco,69.0,2022-08-22,,,,
Yucatán,20.0,2022-08-22,,,,
Quintana Roo,12.0,2022-08-22,,,,
Baja California,8.0,2022-08-22,,,,
Nuevo León,7.0,2022-08-22,,,,
Chiapas,5.0,2022-08-22,,,,
Veracruz,5.0,2022-08-22,,,,
Puebla,4.0,2022-08-22,,,,
Tabasco,4.0,2022-08-22,,,,
Morelos,3.0,2022-08-22,,,,
Colima,2.0,2022-08-22,,,,
Chihuahua,2.0,2022-08-22,,,,
Guanajuato,2.0,2022-08-22,,,,
Oaxaca,2.0,2022-08-22,,,,
Querétaro,2.0,2022-08-22,,,,
Sinaloa,2.0,2022-08-22,,,,
Sonora,2.0,2022-08-22,,,,
Aguascalientes,1.0,2022-08-22,,,,
Baja California Sur,1.0,2022-08-22,,,,
Coahuila,1.0,2022-08-22,,,,
Michoacán,1.0,2022-08-22,,,,
San Luis Potosí,1.0,2022-08-22,,,,
Ciudad de México,279.0,2022-08-29,,,,
Jalisco,84.0,2022-08-29,,,,
Yucatán,29.0,2022-08-29,,,,
Quintana Roo,14.0,2022-08-29,,,,
Baja California,9.0,2022-08-29,,,,
Chiapas,9.0,2022-08-29,,,,
Nuevo León,9.0,2022-08-29,,,,
Veracruz,5.0,2022-08-29,,,,
Guanajuato,4.0,2022-08-29,,,,
Puebla,4.0,2022-08-29,,,,
Tabasco,4.0,2022-08-29,,,,
Chihuahua,3.0,2022-08-29,,,,
Morelos,3.0,2022-08-29,,,,
Querétaro,3.0,2022-08-29,,,,
Colima,2.0,2022-08-29,,,,
Oaxaca,2.0,2022-08-29,,,,
Sinaloa,2.0,2022-08-29,,,,
Sonora,2.0,2022-08-29,,,,
Aguascalientes,1.0,2022-08-29,,,,
Baja California Sur,1.0,2022-08-29,,,,
Coahuila,1.0,2022-08-29,,,,
Michoacán,1.0,2022-08-29,,,,
San Luis Potosí,1.0,2022-08-29,,,,
Zacatecas,1.0,2022-08-29,,,,
Ciudad de México,442,2022-09-05,,,,
Yucatán,49,2022-09-05,,,,
Jalisco,127,2022-09-05,,,,
Quintana Roo,19,2022-09-05,,,,
Nayarit,5,2022-09-05,,,,
Tabasco,8,2022-09-05,,,,
Morelos,6,2022-09-05,,,,
México,51,2022-09-05,,,,
Aguascalientes,4,2022-09-05,,,,
Colima,2,2022-09-05,,,,
Baja California,9,2022-09-05,,,,
Chiapas,14,2022-09-05,,,,
Nuevo León,10,2022-09-05,,,,
Sinaloa,5,2022-09-05,,,,
Chihuahua,5,2022-09-05,,,,
Querétaro,3,2022-09-05,,,,
Baja California Sur,1,2022-09-05,,,,
Campeche,1,2022-09-05,,,,
Guanajuato,5,2022-09-05,,,,
Puebla,5,2022-09-05,,,,
Oaxaca,3,2022-09-05,,,,
Veracruz,6,2022-09-05,,,,
Sonora,2,2022-09-05,,,,
Coahuila,2,2022-09-05,,,,
Zacatecas,1,2022-09-05,,,,
San Luis Potosí,1,2022-09-05,,,,
Hidalgo,1,2022-09-05,,,,
Michoacán,1,2022-09-05,,,,
Ciudad de México,"1,184",2022-10-04,13.17,,,
Yucatán,77,2022-10-04,3.34,,,
Jalisco,240,2022-10-04,2.8,,,
Quintana Roo,46,2022-10-04,2.56,,,
Tabasco,27,2022-10-04,1.03,,,
Nayarit,9,2022-10-04,0.68,,,
Morelos,13,2022-10-04,0.62,,,
Colima,4,2022-10-04,0.49,,,
Campeche,5,2022-10-04,0.48,,,
Aguascalientes,7,2022-10-04,0.48,,,
Chiapas,25,2022-10-04,0.42,,,
Baja California,14,2022-10-04,0.37,,,
Nuevo León,21,2022-10-04,0.36,,,
Querétaro,8,2022-10-04,0.34,,,
Coahuila,10,2022-10-04,0.3,,,
Chihuahua,11,2022-10-04,0.28,,,
Hidalgo,8,2022-10-04,0.25,,,
Sinaloa,8,2022-10-04,0.25,,,
Puebla,12,2022-10-04,0.18,,,
Zacatecas,3,2022-10-04,0.18,,,
Oaxaca,7,2022-10-04,0.17,,,
Veracruz,14,2022-10-04,0.16,,,
Guanajuato,10,2022-10-04,0.16,,,
Tlaxcala,2,2022-10-04,0.14,,,
Baja California Sur,1,2022-10-04,0.12,,,
Sonora,3,2022-10-04,0.1,,,
Michoacán,4,2022-10-04,0.08,,,
Tamaulipas,3,2022-10-04,0.08,,,
Guerrero,2,2022-10-04,0.05,,,
San Luis Potosí,1,2022-10-04,0.03,,,
Ciudad de México,"1,303",2022-10-11,14.5,,,
Yucatán,81,2022-10-11,3.51,,,
Jalisco,252,2022-10-11,2.94,,,
Quintana Roo,51,2022-10-11,2.84,,,
Tabasco,28,2022-10-11,1.07,,,
Morelos,16,2022-10-11,0.77,,,
Nayarit,9,2022-10-11,0.68,,,
Campeche,6,2022-10-11,0.58,,,
Colima,4,2022-10-11,0.49,,,
Aguascalientes,7,2022-10-11,0.48,,,
Chiapas,25,2022-10-11,0.42,,,
Nuevo León,22,2022-10-11,0.38,,,
Baja California **,13,2022-10-11,0.35,,,
Querétaro,8,2022-10-11,0.34,,,
Coahuila,11,2022-10-11,0.33,,,
Chihuahua,11,2022-10-11,0.28,,,
Puebla,19,2022-10-11,0.28,,,
Hidalgo,8,2022-10-11,0.25,,,
Sinaloa,8,2022-10-11,0.25,,,
Oaxaca,8,2022-10-11,0.19,,,
Guanajuato,12,2022-10-11,0.19,,,
Zacatecas,3,2022-10-11,0.18,,,
Veracruz,15,2022-10-11,0.17,,,
Tamaulipas,6,2022-10-11,0.16,,,
Tlaxcala,2,2022-10-11,0.14,,,
Baja California Sur,1,2022-10-11,0.12,,,
Sonora,3,2022-10-11,0.1,,,
Michoacán,4,2022-10-11,0.08,,,
Guerrero,2,2022-10-11,0.05,,,
San Luis Potosí,1,2022-10-11,0.03,,,
Ciudad de México,967,2022-09-27,10.76,,,
Yucatán,72,2022-09-27,3.12,,,
Jalisco,215,2022-09-27,2.51,,,
Quintana Roo,39,2022-09-27,2.17,,,
Tabasco,24,2022-09-27,0.91,,,
Nayarit,9,2022-09-27,0.68,,,
Morelos,12,2022-09-27,0.58,,,
Aguascalientes,6,2022-09-27,0.41,,,
Colima,3,2022-09-27,0.37,,,
Baja California,13,2022-09-27,0.35,,,
Chiapas,20,2022-09-27,0.34,,,
Nuevo León,19,2022-09-27,0.33,,,
Campeche,3,2022-09-27,0.29,,,
Sinaloa,8,2022-09-27,0.25,,,
Querétaro,5,2022-09-27,0.21,,,
Chihuahua,8,2022-09-27,0.21,,,
Hidalgo,6,2022-09-27,0.19,,,
Coahuila,6,2022-09-27,0.18,,,
Zacatecas,3,2022-09-27,0.18,,,
Puebla,10,2022-09-27,0.15,,,
Oaxaca,6,2022-09-27,0.14,,,
Guanajuato,9,2022-09-27,0.14,,,
Baja California Sur,1,2022-09-27,0.12,,,
Veracruz,10,2022-09-27,0.12,,,
Sonora,3,2022-09-27,0.1,,,
Michoacán,4,2022-09-27,0.08,,,
Tamaulipas,3,2022-09-27,0.08,,,
San Luis Potosí,1,2022-09-27,0.03,,,
Guerrero,1,2022-09-27,0.03,,,
Ciudad de México,814.0,2022-09-19,9.06,,,
Yucatán,61.0,2022-09-19,2.64,,,
Jalisco,192.0,2022-09-19,2.24,,,
Quintana Roo,37.0,2022-09-19,2.06,,,
Tabasco,17.0,2022-09-19,0.65,,,
Nayarit,6.0,2022-09-19,0.45,,,
Morelos,9.0,2022-09-19,0.43,,,
Aguascalientes,5.0,2022-09-19,0.34,,,
Chiapas,20.0,2022-09-19,0.34,,,
Campeche,3.0,2022-09-19,0.29,,,
Baja California,10.0,2022-09-19,0.27,,,
Colima,2.0,2022-09-19,0.25,,,
Nuevo León,13.0,2022-09-19,0.23,,,
Chihuahua,7.0,2022-09-19,0.18,,,
Zacatecas,3.0,2022-09-19,0.18,,,
Sinaloa,5.0,2022-09-19,0.16,,,
Guanajuato,8.0,2022-09-19,0.13,,,
Baja California Sur,1.0,2022-09-19,0.12,,,
Oaxaca,5.0,2022-09-19,0.12,,,
Puebla,8.0,2022-09-19,0.12,,,
Sonora,3.0,2022-09-19,0.1,,,
Veracruz,7.0,2022-09-19,0.08,,,
Tamaulipas,2.0,2022-09-19,0.05,,,
Michoacán,2.0,2022-09-19,0.04,,,
San Luis Potosí,1.0,2022-09-19,0.03,,,
Guerrero,1.0,2022-09-19,0.03,,,
Ciudad de México,75,2022-08-08,,,,
Jalisco,33,2022-08-08,,,,
Yucatán,7,2022-08-08,,,,
Nuevo León,4,2022-08-08,,,,
Baja California,3,2022-08-08,,,,
Chiapas,3,2022-08-08,,,,
México,3,2022-08-08,,,,
Quintana Roo,3,2022-08-08,,,,
Tabasco,3,2022-08-08,,,,
Veracruz,3,2022-08-08,,,,
Oaxaca,2,2022-08-08,,,,
Puebla,2,2022-08-08,,,,
Baja California Sur,1,2022-08-08,,,,
Colima,1,2022-08-08,,,,
Michoacán,1,2022-08-08,,,,
Querétaro,1,2022-08-08,,,,
San Luis Potosí,1,2022-08-08,,,,
Sinaloa,1,2022-08-08,,,,
Ciudad de México,45,2022-08-01,,,,
Jalisco,22,2022-08-01,,,,
Nuevo León,3,2022-08-01,,,,
Tabasco,3,2022-08-01,,,,
Veracruz,3,2022-08-01,,,,
México,2,2022-08-01,,,,
Oaxaca,2,2022-08-01,,,,
Puebla,2,2022-08-01,,,,
Quintana Roo,2,2022-08-01,,,,
Yucatán,2,2022-08-01,,,,
Baja California,1,2022-08-01,,,,
Baja California Sur,1,2022-08-01,,,,
Colima,1,2022-08-01,,,,
Chiapas,1,2022-08-01,,,,
Sinaloa,1,2022-08-01,,,,
Ciudad de México,606,2022-09-12,6.74,,,
Yucatán,59,2022-09-12,2.56,,,
Jalisco,156,2022-09-12,1.82,,,
Quintana Roo,28,2022-09-12,1.56,,,
Tabasco,13,2022-09-12,0.49,,,
Nayarit,6,2022-09-12,0.45,,,
Chiapas,17,2022-09-12,0.29,,,
Morelos,6,2022-09-12,0.29,,,
Aguascalientes,4,2022-09-12,0.27,,,
Baja California,10,2022-09-12,0.27,,,
Colima,2,2022-09-12,0.25,,,
Campeche,2,2022-09-12,0.19,,,
Nuevo León,11,2022-09-12,0.19,,,
Querétaro,4,2022-09-12,0.17,,,
Sinaloa,5,2022-09-12,0.16,,,
Chihuahua,5,2022-09-12,0.13,,,
Baja California Sur,1,2022-09-12,0.12,,,
Oaxaca,4,2022-09-12,0.1,,,
Sonora,3,2022-09-12,0.1,,,
Guanajuato,6,2022-09-12,0.09,,,
Puebla,6,2022-09-12,0.09,,,
Veracruz,7,2022-09-12,0.08,,,
Hidalgo,2,2022-09-12,0.06,,,
Coahuila,2,2022-09-12,0.06,,,
Zacatecas,1,2022-09-12,0.06,,,
Tamaulipas,2,2022-09-12,0.05,,,
Michoacán,2,2022-09-12,0.04,,,
San Luis Potosí,1,2022-09-12,0.03,,,
Guerrero,1,2022-09-12,0.03,,,
