"Fecha_reporte","Estado","Casos","Tasa de incidencia","Ambulatorios","Hospitalizados","Altas","Incidencia"
"2022-08-01","Aguascalientes",0,NA,NA,NA,NA,0
"2022-08-01","Baja California",1,NA,NA,NA,NA,1
"2022-08-01","Baja California Sur",1,NA,NA,NA,NA,1
"2022-08-01","Campeche",0,NA,NA,NA,NA,0
"2022-08-01","Chiapas",1,NA,NA,NA,NA,1
"2022-08-01","Chihuahua",0,NA,NA,NA,NA,0
"2022-08-01","Ciudad de México",45,NA,NA,NA,NA,45
"2022-08-01","Coahuila",0,NA,NA,NA,NA,0
"2022-08-01","Colima",1,NA,NA,NA,NA,1
"2022-08-01","Durango",0,NA,NA,NA,NA,0
"2022-08-01","Estado de México",2,NA,NA,NA,NA,2
"2022-08-01","Guanajuato",0,NA,NA,NA,NA,0
"2022-08-01","Guerrero",0,NA,NA,NA,NA,0
"2022-08-01","Hidalgo",0,NA,NA,NA,NA,0
"2022-08-01","Jalisco",22,NA,NA,NA,NA,22
"2022-08-01","Michoacán",0,NA,NA,NA,NA,0
"2022-08-01","Morelos",0,NA,NA,NA,NA,0
"2022-08-01","Nayarit",0,NA,NA,NA,NA,0
"2022-08-01","Nuevo León",3,NA,NA,NA,NA,3
"2022-08-01","Oaxaca",2,NA,NA,NA,NA,2
"2022-08-01","Puebla",2,NA,NA,NA,NA,2
"2022-08-01","Querétaro",0,NA,NA,NA,NA,0
"2022-08-01","Quintana Roo",2,NA,NA,NA,NA,2
"2022-08-01","San Luis Potosí",0,NA,NA,NA,NA,0
"2022-08-01","Sinaloa",1,NA,NA,NA,NA,1
"2022-08-01","Sonora",0,NA,NA,NA,NA,0
"2022-08-01","Tabasco",3,NA,NA,NA,NA,3
"2022-08-01","Tamaulipas",0,NA,NA,NA,NA,0
"2022-08-01","Tlaxcala",0,NA,NA,NA,NA,0
"2022-08-01","Veracruz",3,NA,NA,NA,NA,3
"2022-08-01","Yucatán",2,NA,NA,NA,NA,2
"2022-08-01","Zacatecas",0,NA,NA,NA,NA,0
"2022-08-08","Aguascalientes",0,NA,NA,NA,NA,0
"2022-08-08","Baja California",3,NA,NA,NA,NA,2
"2022-08-08","Baja California Sur",1,NA,NA,NA,NA,0
"2022-08-08","Campeche",0,NA,NA,NA,NA,0
"2022-08-08","Chiapas",3,NA,NA,NA,NA,2
"2022-08-08","Chihuahua",0,NA,NA,NA,NA,0
"2022-08-08","Ciudad de México",75,NA,NA,NA,NA,30
"2022-08-08","Coahuila",0,NA,NA,NA,NA,0
"2022-08-08","Colima",1,NA,NA,NA,NA,0
"2022-08-08","Durango",0,NA,NA,NA,NA,0
"2022-08-08","Estado de México",3,NA,NA,NA,NA,1
"2022-08-08","Guanajuato",0,NA,NA,NA,NA,0
"2022-08-08","Guerrero",0,NA,NA,NA,NA,0
"2022-08-08","Hidalgo",0,NA,NA,NA,NA,0
"2022-08-08","Jalisco",33,NA,NA,NA,NA,11
"2022-08-08","Michoacán",1,NA,NA,NA,NA,1
"2022-08-08","Morelos",0,NA,NA,NA,NA,0
"2022-08-08","Nayarit",0,NA,NA,NA,NA,0
"2022-08-08","Nuevo León",4,NA,NA,NA,NA,1
"2022-08-08","Oaxaca",2,NA,NA,NA,NA,0
"2022-08-08","Puebla",2,NA,NA,NA,NA,0
"2022-08-08","Querétaro",1,NA,NA,NA,NA,1
"2022-08-08","Quintana Roo",3,NA,NA,NA,NA,1
"2022-08-08","San Luis Potosí",1,NA,NA,NA,NA,1
"2022-08-08","Sinaloa",1,NA,NA,NA,NA,0
"2022-08-08","Sonora",0,NA,NA,NA,NA,0
"2022-08-08","Tabasco",3,NA,NA,NA,NA,0
"2022-08-08","Tamaulipas",0,NA,NA,NA,NA,0
"2022-08-08","Tlaxcala",0,NA,NA,NA,NA,0
"2022-08-08","Veracruz",3,NA,NA,NA,NA,0
"2022-08-08","Yucatán",7,NA,NA,NA,NA,5
"2022-08-08","Zacatecas",0,NA,NA,NA,NA,0
"2022-08-15","Aguascalientes",0,NA,NA,NA,NA,0
"2022-08-15","Baja California",4,NA,NA,NA,NA,1
"2022-08-15","Baja California Sur",1,NA,NA,NA,NA,0
"2022-08-15","Campeche",0,NA,NA,NA,NA,0
"2022-08-15","Chiapas",4,NA,NA,NA,NA,1
"2022-08-15","Chihuahua",1,NA,NA,NA,NA,1
"2022-08-15","Ciudad de México",141,NA,NA,NA,NA,66
"2022-08-15","Coahuila",0,NA,NA,NA,NA,0
"2022-08-15","Colima",2,NA,NA,NA,NA,1
"2022-08-15","Durango",0,NA,NA,NA,NA,0
"2022-08-15","Estado de México",9,NA,NA,NA,NA,6
"2022-08-15","Guanajuato",0,NA,NA,NA,NA,0
"2022-08-15","Guerrero",0,NA,NA,NA,NA,0
"2022-08-15","Hidalgo",0,NA,NA,NA,NA,0
"2022-08-15","Jalisco",46,NA,NA,NA,NA,13
"2022-08-15","Michoacán",1,NA,NA,NA,NA,0
"2022-08-15","Morelos",1,NA,NA,NA,NA,1
"2022-08-15","Nayarit",0,NA,NA,NA,NA,0
"2022-08-15","Nuevo León",4,NA,NA,NA,NA,0
"2022-08-15","Oaxaca",2,NA,NA,NA,NA,0
"2022-08-15","Puebla",2,NA,NA,NA,NA,0
"2022-08-15","Querétaro",1,NA,NA,NA,NA,0
"2022-08-15","Quintana Roo",9,NA,NA,NA,NA,6
"2022-08-15","San Luis Potosí",1,NA,NA,NA,NA,0
"2022-08-15","Sinaloa",1,NA,NA,NA,NA,0
"2022-08-15","Sonora",0,NA,NA,NA,NA,0
"2022-08-15","Tabasco",3,NA,NA,NA,NA,0
"2022-08-15","Tamaulipas",0,NA,NA,NA,NA,0
"2022-08-15","Tlaxcala",0,NA,NA,NA,NA,0
"2022-08-15","Veracruz",4,NA,NA,NA,NA,1
"2022-08-15","Yucatán",15,NA,NA,NA,NA,8
"2022-08-15","Zacatecas",0,NA,NA,NA,NA,0
"2022-08-22","Aguascalientes",1,NA,NA,NA,NA,1
"2022-08-22","Baja California",8,NA,NA,NA,NA,4
"2022-08-22","Baja California Sur",1,NA,NA,NA,NA,0
"2022-08-22","Campeche",0,NA,NA,NA,NA,0
"2022-08-22","Chiapas",5,NA,NA,NA,NA,1
"2022-08-22","Chihuahua",2,NA,NA,NA,NA,1
"2022-08-22","Ciudad de México",209,NA,NA,NA,NA,68
"2022-08-22","Coahuila",1,NA,NA,NA,NA,1
"2022-08-22","Colima",2,NA,NA,NA,NA,0
"2022-08-22","Durango",0,NA,NA,NA,NA,0
"2022-08-22","Estado de México",21,NA,NA,NA,NA,12
"2022-08-22","Guanajuato",2,NA,NA,NA,NA,2
"2022-08-22","Guerrero",0,NA,NA,NA,NA,0
"2022-08-22","Hidalgo",0,NA,NA,NA,NA,0
"2022-08-22","Jalisco",69,NA,NA,NA,NA,23
"2022-08-22","Michoacán",1,NA,NA,NA,NA,0
"2022-08-22","Morelos",3,NA,NA,NA,NA,2
"2022-08-22","Nayarit",0,NA,NA,NA,NA,0
"2022-08-22","Nuevo León",7,NA,NA,NA,NA,3
"2022-08-22","Oaxaca",2,NA,NA,NA,NA,0
"2022-08-22","Puebla",4,NA,NA,NA,NA,2
"2022-08-22","Querétaro",2,NA,NA,NA,NA,1
"2022-08-22","Quintana Roo",12,NA,NA,NA,NA,3
"2022-08-22","San Luis Potosí",1,NA,NA,NA,NA,0
"2022-08-22","Sinaloa",2,NA,NA,NA,NA,1
"2022-08-22","Sonora",2,NA,NA,NA,NA,2
"2022-08-22","Tabasco",4,NA,NA,NA,NA,1
"2022-08-22","Tamaulipas",0,NA,NA,NA,NA,0
"2022-08-22","Tlaxcala",0,NA,NA,NA,NA,0
"2022-08-22","Veracruz",5,NA,NA,NA,NA,1
"2022-08-22","Yucatán",20,NA,NA,NA,NA,5
"2022-08-22","Zacatecas",0,NA,NA,NA,NA,0
"2022-08-29","Aguascalientes",1,NA,NA,NA,NA,0
"2022-08-29","Baja California",9,NA,NA,NA,NA,1
"2022-08-29","Baja California Sur",1,NA,NA,NA,NA,0
"2022-08-29","Campeche",0,NA,NA,NA,NA,0
"2022-08-29","Chiapas",9,NA,NA,NA,NA,4
"2022-08-29","Chihuahua",3,NA,NA,NA,NA,1
"2022-08-29","Ciudad de México",279,NA,NA,NA,NA,70
"2022-08-29","Coahuila",1,NA,NA,NA,NA,0
"2022-08-29","Colima",2,NA,NA,NA,NA,0
"2022-08-29","Durango",0,NA,NA,NA,NA,0
"2022-08-29","Estado de México",31,NA,NA,NA,NA,10
"2022-08-29","Guanajuato",4,NA,NA,NA,NA,2
"2022-08-29","Guerrero",0,NA,NA,NA,NA,0
"2022-08-29","Hidalgo",0,NA,NA,NA,NA,0
"2022-08-29","Jalisco",84,NA,NA,NA,NA,15
"2022-08-29","Michoacán",1,NA,NA,NA,NA,0
"2022-08-29","Morelos",3,NA,NA,NA,NA,0
"2022-08-29","Nayarit",0,NA,NA,NA,NA,0
"2022-08-29","Nuevo León",9,NA,NA,NA,NA,2
"2022-08-29","Oaxaca",2,NA,NA,NA,NA,0
"2022-08-29","Puebla",4,NA,NA,NA,NA,0
"2022-08-29","Querétaro",3,NA,NA,NA,NA,1
"2022-08-29","Quintana Roo",14,NA,NA,NA,NA,2
"2022-08-29","San Luis Potosí",1,NA,NA,NA,NA,0
"2022-08-29","Sinaloa",2,NA,NA,NA,NA,0
"2022-08-29","Sonora",2,NA,NA,NA,NA,0
"2022-08-29","Tabasco",4,NA,NA,NA,NA,0
"2022-08-29","Tamaulipas",0,NA,NA,NA,NA,0
"2022-08-29","Tlaxcala",0,NA,NA,NA,NA,0
"2022-08-29","Veracruz",5,NA,NA,NA,NA,0
"2022-08-29","Yucatán",29,NA,NA,NA,NA,9
"2022-08-29","Zacatecas",1,NA,NA,NA,NA,1
"2022-09-05","Aguascalientes",4,NA,NA,NA,NA,3
"2022-09-05","Baja California",9,NA,NA,NA,NA,0
"2022-09-05","Baja California Sur",1,NA,NA,NA,NA,0
"2022-09-05","Campeche",1,NA,NA,NA,NA,1
"2022-09-05","Chiapas",14,NA,NA,NA,NA,5
"2022-09-05","Chihuahua",5,NA,NA,NA,NA,2
"2022-09-05","Ciudad de México",442,NA,NA,NA,NA,163
"2022-09-05","Coahuila",2,NA,NA,NA,NA,1
"2022-09-05","Colima",2,NA,NA,NA,NA,0
"2022-09-05","Durango",0,NA,NA,NA,NA,0
"2022-09-05","Estado de México",51,NA,NA,NA,NA,20
"2022-09-05","Guanajuato",5,NA,NA,NA,NA,1
"2022-09-05","Guerrero",0,NA,NA,NA,NA,0
"2022-09-05","Hidalgo",1,NA,NA,NA,NA,1
"2022-09-05","Jalisco",127,NA,NA,NA,NA,43
"2022-09-05","Michoacán",1,NA,NA,NA,NA,0
"2022-09-05","Morelos",6,NA,NA,NA,NA,3
"2022-09-05","Nayarit",5,NA,NA,NA,NA,5
"2022-09-05","Nuevo León",10,NA,NA,NA,NA,1
"2022-09-05","Oaxaca",3,NA,NA,NA,NA,1
"2022-09-05","Puebla",5,NA,NA,NA,NA,1
"2022-09-05","Querétaro",3,NA,NA,NA,NA,0
"2022-09-05","Quintana Roo",19,NA,NA,NA,NA,5
"2022-09-05","San Luis Potosí",1,NA,NA,NA,NA,0
"2022-09-05","Sinaloa",5,NA,NA,NA,NA,3
"2022-09-05","Sonora",2,NA,NA,NA,NA,0
"2022-09-05","Tabasco",8,NA,NA,NA,NA,4
"2022-09-05","Tamaulipas",0,NA,NA,NA,NA,0
"2022-09-05","Tlaxcala",0,NA,NA,NA,NA,0
"2022-09-05","Veracruz",6,NA,NA,NA,NA,1
"2022-09-05","Yucatán",49,NA,NA,NA,NA,20
"2022-09-05","Zacatecas",1,NA,NA,NA,NA,0
"2022-09-12","Aguascalientes",4,0.27,NA,NA,NA,0
"2022-09-12","Baja California",10,0.27,NA,NA,NA,1
"2022-09-12","Baja California Sur",1,0.12,NA,NA,NA,0
"2022-09-12","Campeche",2,0.19,NA,NA,NA,1
"2022-09-12","Chiapas",17,0.29,NA,NA,NA,3
"2022-09-12","Chihuahua",5,0.13,NA,NA,NA,0
"2022-09-12","Ciudad de México",606,6.74,NA,NA,NA,164
"2022-09-12","Coahuila",2,0.06,NA,NA,NA,0
"2022-09-12","Colima",2,0.25,NA,NA,NA,0
"2022-09-12","Durango",0,NA,NA,NA,NA,0
"2022-09-12","Estado de México",79,0.44,NA,NA,NA,28
"2022-09-12","Guanajuato",6,0.09,NA,NA,NA,1
"2022-09-12","Guerrero",1,0.03,NA,NA,NA,1
"2022-09-12","Hidalgo",2,0.06,NA,NA,NA,1
"2022-09-12","Jalisco",156,1.82,NA,NA,NA,29
"2022-09-12","Michoacán",2,0.04,NA,NA,NA,1
"2022-09-12","Morelos",6,0.29,NA,NA,NA,0
"2022-09-12","Nayarit",6,0.45,NA,NA,NA,1
"2022-09-12","Nuevo León",11,0.19,NA,NA,NA,1
"2022-09-12","Oaxaca",4,0.1,NA,NA,NA,1
"2022-09-12","Puebla",6,0.09,NA,NA,NA,1
"2022-09-12","Querétaro",4,0.17,NA,NA,NA,1
"2022-09-12","Quintana Roo",28,1.56,NA,NA,NA,9
"2022-09-12","San Luis Potosí",1,0.03,NA,NA,NA,0
"2022-09-12","Sinaloa",5,0.16,NA,NA,NA,0
"2022-09-12","Sonora",3,0.1,NA,NA,NA,1
"2022-09-12","Tabasco",13,0.49,NA,NA,NA,5
"2022-09-12","Tamaulipas",2,0.05,NA,NA,NA,2
"2022-09-12","Tlaxcala",0,NA,NA,NA,NA,0
"2022-09-12","Veracruz",7,0.08,NA,NA,NA,1
